Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Rod Strickland,1995,3.2,3.3,19.1,6.3,3.8,18.7,0.08,0
Dikembe Mutombo,1995,2.8,5.0,17.1,4.8,2.0,11.0,0.04,0
Hersey Hawkins,1995,3.4,4.2,16.1,3.5,2.0,15.6,0.03,0
Rik Smits,1995,1.2,2.1,19.0,4.7,2.5,18.5,0.03,0
Jason Kidd,1995,3.0,2.6,17.8,4.1,4.0,16.6,0.03,0
Anthony Mason,1995,3.4,5.0,15.8,5.0,2.6,14.6,0.02,0
Allan Houston,1995,2.3,3.0,15.7,4.4,2.8,19.7,0.02,0
Jeff Hornacek,1995,4.2,2.4,19.1,3.5,1.5,15.2,0.02,0
Karl Malone,1996,7.8,5.1,28.9,8.4,2.8,27.4,1.0,1
Michael Jordan,1996,8.6,5.0,27.8,7.0,2.0,29.6,0.98,1
Shaquille O'Neal,1996,4.1,3.9,27.1,9.4,2.9,26.2,0.96,3
Grant Hill,1996,8.0,5.9,25.5,7.9,3.2,21.4,0.95,1
Gary Payton,1996,6.1,4.7,21.8,4.3,2.6,21.8,0.92,2
John Stockton,1996,6.3,3.6,22.1,4.0,3.0,14.4,0.91,3
Tim Hardaway,1996,6.5,5.0,20.8,4.5,2.8,20.3,0.9,1
Hakeem Olajuwon,1996,3.9,5.6,22.7,5.7,3.6,23.2,0.89,1
Mitch Richmond,1996,5.2,2.1,21.6,6.6,2.9,25.9,0.88,2
Patrick Ewing,1996,3.5,6.9,21.3,7.5,3.4,22.4,0.86,2
Scottie Pippen,1996,6.1,5.2,21.3,3.5,2.6,20.2,0.78,2
Glen Rice,1996,3.2,1.2,19.7,6.8,2.2,26.8,0.77,2
Vin Baker,1996,3.2,3.4,20.1,6.7,3.1,21.0,0.68,3
Anthony Mason,1996,4.3,3.3,18.9,5.9,2.3,16.2,0.65,3
Anfernee Hardaway,1996,3.9,2.2,21.4,5.8,2.5,20.5,0.65,3
Chris Webber,1996,5.1,5.0,21.8,4.3,3.2,20.1,0.37,0
Alonzo Mourning,1996,2.9,5.6,21.6,8.6,3.4,19.8,0.27,0
Reggie Miller,1996,5.8,2.7,20.2,5.9,2.0,21.6,0.27,0
Kevin Johnson,1996,4.7,1.5,22.9,7.4,3.1,20.1,0.25,0
Latrell Sprewell,1996,4.0,1.1,19.7,7.3,4.0,24.2,0.24,0
Terrell Brandon,1996,5.5,4.7,21.5,3.8,2.3,19.5,0.23,0
Charles Barkley,1996,3.9,3.7,23.0,7.8,2.8,19.2,0.22,0
Kendall Gill,1996,4.0,2.2,19.6,6.5,2.7,21.8,0.18,0
Shawn Kemp,1996,2.0,5.4,20.7,7.5,3.5,18.7,0.17,0
Dikembe Mutombo,1996,3.5,6.6,19.0,5.4,2.3,13.3,0.14,0
Arvydas Sabonis,1996,3.2,3.9,21.8,4.2,2.2,13.4,0.11,0
Kenny Anderson,1996,5.0,4.4,19.5,5.3,2.4,17.5,0.11,0
Christian Laettner,1996,3.5,5.4,19.1,5.4,2.7,18.1,0.1,0
Mookie Blaylock,1996,6.8,5.6,20.4,2.2,2.4,17.4,0.09,0
Tom Gugliotta,1996,2.9,4.2,19.0,7.0,3.6,20.6,0.09,0
Michael Jordan,1997,7.1,5.4,25.2,8.8,2.3,28.7,1.0,1
Karl Malone,1997,7.1,4.3,27.9,10.2,3.0,27.0,0.99,1
Shaquille O'Neal,1997,4.3,3.4,28.8,11.4,2.9,28.3,0.96,1
David Robinson,1997,6.3,6.0,27.8,9.0,2.8,21.6,0.94,2
Gary Payton,1997,5.7,4.0,21.6,4.6,2.8,19.2,0.9,1
Grant Hill,1997,5.6,5.1,21.2,8.0,3.5,21.1,0.88,2
Reggie Miller,1997,4.8,2.8,19.8,5.4,1.6,19.5,0.86,3
Mitch Richmond,1997,3.6,1.3,20.4,6.7,2.6,23.2,0.75,3
Tim Hardaway,1997,5.5,3.8,20.6,4.1,2.8,18.9,0.75,2
Dikembe Mutombo,1997,3.4,5.2,19.8,5.5,2.0,13.4,0.68,3
Glen Rice,1997,2.4,2.0,17.4,6.1,2.2,22.3,0.67,3
Scottie Pippen,1997,2.9,3.0,20.4,4.4,2.5,19.1,0.66,3
Rod Strickland,1997,3.7,3.0,19.6,6.5,3.5,17.8,0.61,2
Vin Baker,1997,2.2,3.5,20.4,6.4,2.1,19.2,0.56,2
Alonzo Mourning,1997,2.2,3.6,22.4,8.0,3.1,19.2,0.31,0
Chris Webber,1997,4.7,4.4,20.9,4.7,2.6,21.9,0.2,0
Sam Cassell,1997,3.7,1.7,21.0,6.8,3.6,19.6,0.19,0
