Player,Season,VORP,DWS,PER,FTA,TOV,PTS,AllNBA_pred_proba,Class
Chris Webber,1994,2.9,2.2,20.1,4.3,3.1,20.1,0.08834851394962101,0
Jeff Hornacek,1994,3.9,2.9,18.6,4.0,1.8,16.5,0.07724819074386474,0
Michael Jordan,1994,1.1,1.1,22.1,8.0,2.1,26.9,0.07228024399640771,0
Jim Jackson,1994,2.0,0.6,18.9,7.5,3.1,25.7,0.07086571228679878,0
Jamal Mashburn,1994,2.0,1.3,17.3,7.6,2.9,24.1,0.06290252681464219,0
Michael Jordan,1995,9.8,6.2,29.4,8.0,2.4,30.4,0.999789680579459,1
David Robinson,1995,8.3,7.2,29.4,10.0,2.3,25.0,0.9992353696060501,1
Karl Malone,1995,7.1,5.3,26.0,8.6,2.4,25.7,0.991302046058508,1
Hakeem Olajuwon,1995,4.9,5.2,25.5,7.6,3.4,26.9,0.9675062864228481,2
Alonzo Mourning,1995,4.2,5.5,22.7,10.2,3.7,23.2,0.921636771370734,0
Anfernee Hardaway,1995,6.9,3.4,24.6,7.1,2.8,21.7,0.9202255240531801,1
Grant Hill,1995,5.6,5.7,20.9,8.1,3.3,20.2,0.9177789130984547,2
Charles Barkley,1995,5.1,3.5,24.8,8.0,3.1,23.2,0.8468151632759742,3
Scottie Pippen,1995,5.9,5.3,21.0,4.2,2.7,19.4,0.8233957635736744,1
Shawn Kemp,1995,3.2,6.1,22.6,8.4,4.0,19.6,0.7737081808642021,2
Gary Payton,1995,5.2,5.6,19.6,3.8,3.2,19.3,0.7523487967432214,2
Terrell Brandon,1995,6.2,3.1,25.2,5.1,1.9,19.3,0.6956388531141354,0
Shaquille O'Neal,1995,2.8,3.0,26.4,9.5,2.9,26.6,0.6720791215088165,3
Patrick Ewing,1995,2.5,6.1,20.9,6.1,2.9,22.5,0.6046000053870318,0
John Stockton,1995,6.4,2.9,21.9,3.4,3.0,14.7,0.41910958621991895,2
Mitch Richmond,1995,4.1,2.1,19.2,6.1,2.7,23.1,0.28500440585297276,3
Reggie Miller,1995,4.5,2.0,20.1,6.6,2.5,21.1,0.27873464580363155,3
Clifford Robinson,1995,3.0,4.2,16.3,6.9,2.5,21.1,0.2387846543142345,0
Mookie Blaylock,1995,5.4,3.6,18.9,2.1,2.3,15.7,0.23178984367486144,0
Rod Strickland,1995,3.2,3.3,19.1,6.3,3.8,18.7,0.20310621014006416,0
Cedric Ceballos,1995,3.1,2.8,22.1,5.2,2.1,21.2,0.1742994846843474,0
Anthony Mason,1995,3.4,5.0,15.8,5.0,2.6,14.6,0.12721332862368429,0
Larry Johnson,1995,3.9,1.3,19.8,7.0,2.2,20.5,0.12040228138954598,0
Clyde Drexler,1995,3.0,2.6,20.0,6.5,2.6,19.3,0.11572048335502917,0
Kevin Johnson,1995,3.4,1.3,22.8,7.1,3.0,18.7,0.11015546479020069,0
Sean Elliott,1995,2.7,3.6,16.3,5.5,2.6,20.0,0.10836714130826638,0
Hersey Hawkins,1995,3.4,4.2,16.1,3.5,2.0,15.6,0.07195413078069807,0
Juwan Howard,1995,1.3,3.1,17.0,5.3,3.7,22.1,0.06625097133597131,3
Jason Kidd,1995,3.0,2.6,17.8,4.1,4.0,16.6,0.061338472484233776,0
Toni Kukoč,1995,4.0,3.2,20.4,3.3,1.4,13.1,0.053227536969435746,0
Michael Jordan,1996,8.6,5.0,27.8,7.0,2.0,29.6,0.998125258913251,1
Karl Malone,1996,7.8,5.1,28.9,8.4,2.8,27.4,0.9972464768099945,1
Grant Hill,1996,8.0,5.9,25.5,7.9,3.2,21.4,0.9933723925613397,1
Shaquille O'Neal,1996,4.1,3.9,27.1,9.4,2.9,26.2,0.8998693083155009,3
