Player,Season,VORP,DWS,PER,FTA,TOV,PTS,Rookie,RookieNBA_pred_proba,Class
Tony Dumas,1994,-0.4,0.2,8.8,1.3,0.9,4.6,1,0.0,0
Damon Stoudamire,1995,1.6,0.6,16.7,4.2,3.8,19.0,1,1.0,1
Kevin Garnett,1995,1.7,2.6,15.8,1.9,1.4,10.4,1,0.98,2
Antonio McDyess,1995,0.0,2.7,15.6,3.2,2.0,13.4,1,0.97,1
Jerry Stackhouse,1995,0.7,0.4,14.8,7.2,3.5,19.2,1,0.97,1
Rasheed Wallace,1995,0.3,1.8,11.8,1.8,1.6,10.1,1,0.97,2
Joe Smith,1995,0.9,2.7,17.2,4.8,1.7,15.3,1,0.95,1
Brent Barry,1995,2.0,1.2,15.9,1.7,1.5,10.1,1,0.93,2
Bryant Reeves,1995,-1.0,2.3,13.4,3.9,2.0,13.3,1,0.89,2
Tyus Edney,1995,0.1,1.2,12.7,3.2,2.4,10.8,1,0.84,2
Arvydas Sabonis,1995,3.8,3.9,24.7,4.2,2.1,14.5,1,0.34,0
Michael Finley,1995,1.5,1.3,14.0,3.9,1.6,15.0,1,0.28,0
Kurt Thomas,1995,0.1,3.0,13.5,2.4,1.3,9.0,1,0.27,0
Sasha Danilović,1995,0.3,0.6,14.4,3.8,1.9,13.4,1,0.22,0
Eric Williams,1995,-0.3,0.9,13.3,4.7,1.4,10.7,1,0.18,0
Bob Sura,1995,0.6,1.5,15.0,1.8,1.5,5.3,1,0.09,0
Theo Ratliff,1995,0.9,2.2,14.0,1.6,0.7,4.5,1,0.09,0
Alan Henderson,1995,-0.8,1.6,12.9,2.5,1.1,6.4,1,0.08,0
Gary Trent,1995,-0.3,1.6,12.4,2.0,1.3,7.5,1,0.06,0
Don Reid,1995,0.3,1.8,12.1,1.1,0.6,3.8,1,0.04,0
Ashraf Amaya,1995,-0.8,1.1,11.8,2.8,1.1,6.3,1,0.04,0
Howard Nathan,1995,0.0,0.0,11.3,0.8,1.6,2.6,1,0.02,0
Chris Carr,1995,-0.5,0.3,10.5,1.0,0.7,4.0,1,0.01,0
Mark Davis,1995,-0.2,0.8,10.9,2.0,1.2,3.3,1,0.01,0
Jason Caffey,1995,-0.7,0.8,7.9,1.2,0.8,3.2,1,0.01,0
Greg Ostertag,1995,0.0,1.1,13.2,0.9,0.4,3.6,1,0.01,0
Ed O'Bannon,1995,-0.4,1.1,9.2,1.7,1.0,6.2,1,0.0,0
Shawn Respert,1995,0.0,0.3,10.8,0.7,0.7,4.9,1,0.0,0
Jimmy King,1995,-0.6,0.1,9.9,1.2,1.0,4.5,1,0.0,0
Cherokee Parks,1995,-0.4,0.8,10.9,1.0,0.5,3.9,1,0.0,0
George Zídek,1995,-1.2,0.3,8.0,1.3,0.5,4.0,1,0.0,0
Allen Iverson,1996,2.2,1.0,18.0,7.2,4.4,23.5,1,0.99,1
Kerry Kittles,1996,2.9,1.8,16.0,2.8,1.5,16.4,1,0.98,2
Antoine Walker,1996,-0.1,1.7,15.5,4.5,2.8,17.5,1,0.98,1
Shareef Abdur-Rahim,1996,0.2,1.2,17.4,6.5,2.8,18.7,1,0.96,1
Stephon Marbury,1996,1.2,1.2,16.1,5.0,3.1,15.8,1,0.96,1
Matt Maloney,1996,1.3,2.1,12.3,1.1,1.5,9.4,1,0.93,2
Marcus Camby,1996,0.9,2.3,17.8,4.2,2.1,14.8,1,0.92,1
Ray Allen,1996,1.2,1.5,14.6,3.0,1.8,13.4,1,0.86,2
Kobe Bryant,1996,0.5,1.3,14.4,2.3,1.6,7.6,1,0.81,2
Travis Knight,1996,0.1,1.8,14.1,1.4,0.7,4.8,1,0.72,2
Dean Garrett,1996,1.3,2.5,17.7,2.0,0.5,8.0,1,0.27,0
Lorenzen Wright,1996,-0.5,1.7,12.5,1.9,1.0,7.3,1,0.07,0
John Wallace,1996,0.1,1.4,13.0,1.6,1.1,4.8,1,0.07,0
Erick Dampier,1996,-0.4,1.9,11.8,2.3,1.2,5.1,1,0.05,0
Roy Rogers,1996,-0.8,1.1,12.6,1.1,1.0,6.6,1,0.04,0
Erick Strickland,1996,-0.2,0.5,11.0,2.9,2.4,10.6,1,0.04,0
Randy Livingston,1996,-0.4,1.1,8.3,1.0,1.6,3.9,1,0.02,0
Tony Delk,1996,0.5,0.6,14.2,0.8,1.1,5.4,1,0.01,0
