Player,Season,WS/48,PER,PTS,TRB,AST,STL,BLK,Rookie,ClassRookie
Matt Geiger,1993,0.179,16.7,7.2,4.2,0.4,0.5,0.4,0,0
Juwan Howard,1994,0.057,15.0,17.0,8.4,2.5,0.8,0.2,1,2
Glenn Robinson,1994,0.053,16.6,21.9,6.4,2.5,1.4,0.3,1,1
Grant Hill,1994,0.097,19.0,19.9,6.4,5.0,1.8,0.9,1,1
Brian Grant,1994,0.112,16.5,13.2,7.5,1.2,0.6,1.5,1,1
Eddie Jones,1994,0.122,16.3,14.0,3.9,2.0,2.0,0.6,1,1
Jason Kidd,1994,0.066,15.1,11.7,5.4,7.7,1.9,0.3,1,1
Jalen Rose,1994,0.103,15.1,8.2,2.7,4.8,0.8,0.3,1,2
Wesley Person,1994,0.101,14.2,10.4,2.6,1.3,0.6,0.3,1,2
Eric Montross,1994,0.084,12.1,10.0,7.3,0.5,0.4,0.8,1,2
Lamond Murray,1994,-0.006,11.6,14.1,4.4,1.6,0.9,0.7,1,0
Sharone Wright,1994,0.04,14.0,11.4,6.0,0.6,0.5,1.3,1,0
Donyell Marshall,1994,0.007,12.5,12.6,5.6,1.5,0.6,1.2,1,0
Khalid Reeves,1994,0.115,16.9,9.2,2.8,4.3,1.1,0.1,1,0
Carlos Rogers,1994,0.045,14.3,8.9,5.7,0.8,0.4,1.1,1,0
Clifford Rozier,1994,0.043,11.5,6.8,7.4,0.7,0.5,0.6,1,0
Michael Smith,1994,0.101,13.5,6.9,5.9,0.8,0.7,0.6,1,0
Ryan Lorthridge,1994,0.032,12.9,7.4,1.9,2.7,0.8,0.0,1,0
Aaron McKie,1994,0.115,13.3,6.5,2.9,2.0,0.8,0.4,1,0
Darrick Martin,1994,0.004,10.3,7.5,1.9,3.9,1.0,0.0,1,0
Elmore Spencer,1994,-0.085,7.7,6.9,3.4,1.3,0.7,1.2,0,0
Dell Curry,1994,0.093,15.5,13.6,2.4,1.6,0.8,0.3,0,0
Vlade Divac,1994,0.162,20.5,16.0,10.4,4.1,1.4,2.2,0,0
Matt Geiger,1994,0.077,12.9,8.3,5.6,0.7,0.6,0.7,0,0
Isaiah Rider,1994,0.034,15.6,20.4,3.3,3.3,0.9,0.3,0,0
Jayson Williams,1994,0.102,16.2,4.8,5.7,0.5,0.3,0.4,0,0
Dikembe Mutombo,1994,0.135,17.0,11.5,12.5,1.4,0.5,3.9,0,0
Luc Longley,1994,0.087,12.3,6.5,4.8,1.3,0.4,0.8,0,0
Kevin Willis,1994,0.073,16.1,17.2,10.9,1.3,0.9,0.5,0,0
Hot Rod Williams,1994,0.096,14.6,12.6,6.9,2.6,1.1,1.4,0,0
Joe Dumars,1994,0.032,13.9,18.1,2.4,5.5,1.1,0.1,0,0
Antonio McDyess,1995,0.075,15.6,13.4,7.5,1.0,0.7,1.5,1,1
Jerry Stackhouse,1995,0.021,14.8,19.2,3.7,3.9,1.1,1.1,1,1
Joe Smith,1995,0.116,17.2,15.3,8.7,1.0,1.0,1.6,1,1
Damon Stoudamire,1995,0.072,16.7,19.0,4.0,9.3,1.4,0.3,1,1
Kevin Garnett,1995,0.092,15.8,10.4,6.3,1.8,1.1,1.6,1,2
Tyus Edney,1995,0.064,12.7,10.8,2.5,6.1,1.1,0.0,1,2
Bryant Reeves,1995,0.045,13.4,13.3,7.4,1.4,0.6,0.7,1,2
Brent Barry,1995,0.124,15.9,10.1,2.1,2.9,1.2,0.3,1,2
Rasheed Wallace,1995,0.063,11.8,10.1,4.7,1.3,0.6,0.8,1,2
Michael Finley,1995,0.095,14.0,15.0,4.6,3.5,1.0,0.4,1,0
Sasha Danilović,1995,0.129,14.4,13.4,2.4,2.5,0.8,0.2,1,0
Arvydas Sabonis,1995,0.233,24.7,14.5,8.1,1.8,0.9,1.1,1,0
Kurt Thomas,1995,0.11,13.5,9.0,5.9,0.6,0.6,0.5,1,0
Eric Williams,1995,0.052,13.3,10.7,3.4,1.1,0.9,0.2,1,0
Bob Sura,1995,0.069,15.0,5.3,1.7,2.9,0.7,0.3,1,0
Gary Trent,1995,0.065,12.4,7.5,3.4,0.7,0.4,0.2,1,0
Ashraf Amaya,1995,0.078,11.8,6.3,5.6,0.6,0.4,0.2,1,0
Alan Henderson,1995,0.069,12.9,6.4,4.5,0.6,0.6,0.5,1,0
Sharone Wright,1995,0.043,15.1,11.6,6.2,0.7,0.5,0.9,0,0
Danny Manning,1995,0.026,14.7,13.4,4.3,2.0,1.2,0.7,0,0
Craig Ehlo,1995,0.09,13.7,8.5,3.2,1.7,1.1,0.1,0,0
Chris Gatling,1995,0.156,19.9,11.1,5.9,0.6,0.5,0.6,0,0
Don Reid,1995,0.141,12.1,3.8,2.9,0.2,0.7,0.6,1,0
Mark Davis,1995,-0.005,10.9,3.3,2.2,0.8,0.7,0.4,1,0
Loren Meyer,1995,0.041,9.4,5.0,4.4,0.8,0.3,0.4,1,0
Mario Bennett,1995,0.098,13.3,4.5,2.6,0.3,0.6,0.6,1,0
Theo Ratliff,1995,0.141,14.0,4.5,4.0,0.2,0.2,1.5,1,0
Greg Ostertag,1995,0.104,13.2,3.6,3.1,0.1,0.1,1.1,1,0
Joe Kleine,1995,0.007,6.8,2.9,2.4,0.8,0.2,0.1,0,0
Acie Earl,1995,0.02,14.1,7.5,3.1,0.6,0.4,0.9,0,0
Antoine Walker,1996,0.027,15.5,17.5,9.0,3.2,1.3,0.6,1,1
Shareef Abdur-Rahim,1996,0.049,17.4,18.7,6.9,2.2,1.0,1.0,1,1
Marcus Camby,1996,0.095,17.8,14.8,6.3,1.5,1.0,2.1,1,1
Stephon Marbury,1996,0.077,16.1,15.8,2.7,7.8,1.0,0.3,1,1
Allen Iverson,1996,0.065,18.0,23.5,4.1,7.5,2.1,0.3,1,1
Kerry Kittles,1996,0.11,16.0,16.4,3.9,3.0,1.9,0.4,1,2
Ray Allen,1996,0.092,14.6,13.4,4.0,2.6,0.9,0.1,1,2
Matt Maloney,1996,0.107,12.3,9.4,2.0,3.7,1.0,0.0,1,2
Travis Knight,1996,0.137,14.1,4.8,4.5,0.5,0.4,0.8,1,2
Kobe Bryant,1996,0.079,14.4,7.6,1.9,1.3,0.7,0.3,1,2
Lorenzen Wright,1996,0.079,12.5,7.3,6.1,0.6,0.6,0.8,1,0
Dean Garrett,1996,0.179,17.7,8.0,7.3,0.6,0.6,1.4,1,0
Erick Strickland,1996,0.017,11.0,10.6,3.2,2.4,1.0,0.2,1,0
Shandon Anderson,1996,0.056,10.4,5.9,2.8,0.8,0.4,0.1,1,0
Roy Rogers,1996,0.037,12.6,6.6,4.7,0.6,0.3,2.0,1,0
Dino Radja,1996,-0.01,12.6,14.0,8.4,1.9,0.9,1.9,0,0
