Player,Season,VORP,DWS,PER,G,FTA,TOV,PTS,DRB,AllNBA,Class
Frank Johnson,1988,-0.2,1.0,10.4,67.0,1.4,1.5,4.4,0.9,0,0
Rickey Green,1988,0.4,0.6,13.7,63.0,0.5,1.0,4.6,0.9,0,0
Chris Welp,1988,-0.6,0.7,8.7,72.0,1.0,0.6,3.4,1.9,0,0
John Lucas,1988,0.9,0.8,16.6,74.0,1.0,0.9,4.2,0.8,0,0
Keith Lee,1988,-0.4,1.0,10.8,57.0,1.2,0.9,4.8,3.3,0,0
Olden Polynice,1988,-0.2,0.9,10.3,80.0,1.1,0.6,2.9,1.4,0,0
Dave Feitl,1988,-0.7,0.8,8.7,57.0,1.1,1.1,5.0,2.3,0,0
Dell Curry,1988,0.6,0.5,18.3,48.0,1.0,0.9,11.9,1.6,0,0
Adrian Branch,1988,0.1,0.8,15.7,67.0,1.8,1.0,7.4,1.0,0,0
Marc Iavaroni,1988,-0.6,1.1,5.3,77.0,0.6,0.7,2.3,1.2,0,0
Albert King,1988,-0.4,0.7,9.4,46.0,1.0,1.6,7.1,2.3,0,0
Tony Campbell,1988,-0.3,0.9,12.5,63.0,1.3,1.0,6.2,1.2,0,0
Stuart Gray,1988,-0.2,0.7,9.1,72.0,0.9,0.7,2.6,2.2,0,0
Russ Schoene,1988,-0.1,0.9,12.1,69.0,0.8,0.7,5.2,1.6,0,0
Jerry Reynolds,1988,0.7,0.8,17.6,56.0,3.0,1.0,7.6,0.9,0,0
Ben Coleman,1988,-0.5,0.5,11.2,58.0,1.3,0.8,5.1,2.2,0,0
Bill Hanzlik,1988,-0.2,0.6,8.6,41.0,2.1,1.3,4.9,1.8,0,0
Paul Mokeski,1988,-0.3,1.1,8.2,74.0,0.7,0.5,2.2,1.7,0,0
Jay Vincent,1988,-0.8,0.3,7.0,29.0,2.1,1.4,8.6,2.5,0,0
Mark Acres,1988,-0.2,0.5,8.2,62.0,0.8,0.4,2.2,1.4,0,0
Allen Leavell,1988,-0.3,0.7,7.7,55.0,1.1,1.1,3.3,0.7,0,0
Mike Smrek,1988,-0.4,0.7,9.0,43.0,1.8,1.1,4.5,2.0,0,0
Jerome Whitehead,1988,-0.6,0.6,6.9,57.0,0.8,0.4,3.1,1.5,0,0
Roy Tarpley,1988,0.6,1.1,22.2,19.0,5.1,2.4,17.3,7.4,0,0
Eddie Lee Wilkins,1988,-0.8,0.5,10.2,71.0,1.6,0.8,4.1,1.1,0,0
Tree Rollins,1988,-0.1,1.0,8.8,60.0,0.3,0.4,2.3,1.7,0,0
Kevin Williams,1988,-0.3,0.5,9.0,50.0,1.2,1.0,4.2,0.8,0,0
Charles Davis,1988,-0.3,0.4,10.3,49.0,0.5,0.4,3.8,1.4,0,0
Chris Dudley,1988,-0.7,0.8,8.7,61.0,1.8,0.7,3.0,1.4,0,0
Scott Roth,1988,-0.4,0.5,7.7,63.0,1.4,0.6,2.9,0.7,0,0
Brian Rowsom,1988,0.1,0.3,15.7,34.0,2.4,0.5,6.6,2.4,0,0
Randy Breuer,1988,0.1,0.7,13.8,48.0,1.1,0.6,4.2,1.8,0,0
Bob Thornton,1988,-0.5,0.2,6.4,54.0,1.1,0.4,2.4,1.0,0,0
Eric White,1988,-0.3,0.1,10.3,38.0,1.1,0.7,4.2,0.9,0,0
Cliff Robinson,1988,-0.1,0.3,14.1,14.0,3.1,2.4,15.1,4.0,0,0
Jim Farmer,1988,-0.3,0.5,8.4,37.0,1.1,0.7,4.1,0.9,0,0
Sam Bowie,1988,0.2,0.5,13.7,20.0,2.5,1.7,8.6,3.5,0,0
Greg Dreiling,1988,-0.3,0.2,8.1,53.0,1.2,0.7,2.4,1.0,0,0
Jerry Sichting,1988,-0.1,0.2,8.8,25.0,0.3,1.0,4.1,0.8,0,0
Kevin Gamble,1988,0.2,0.2,15.8,44.0,1.3,0.4,4.3,0.7,0,0
David Wingate,1988,-0.1,0.1,11.5,33.0,1.0,1.1,4.2,0.8,0,0
Tony Brown,1988,0.0,0.4,10.3,43.0,0.7,0.4,3.0,0.5,0,0
Clinton Wheeler,1988,0.2,0.3,12.8,28.0,0.7,0.9,3.8,0.5,0,0
Calvin Natt,1988,-0.2,0.3,10.7,24.0,3.3,1.3,6.3,2.1,0,0
Ray Tolbert,1988,-0.3,0.5,8.3,50.0,0.7,0.7,2.1,1.1,0,0
Ralph Lewis,1988,-0.1,0.1,10.8,42.0,0.9,0.6,3.2,0.6,0,0
T.R. Dunn,1988,0.1,0.3,7.0,34.0,0.4,0.2,1.0,0.9,0,0
Mark McNamara,1988,-0.2,0.3,11.2,39.0,2.0,0.6,2.9,1.6,0,0
Pete Myers,1988,0.1,0.3,12.4,33.0,1.5,0.7,2.9,0.5,0,0
Dudley Bradley,1988,-0.2,0.3,6.1,38.0,0.4,0.4,1.9,0.7,0,0
Ed Nealy,1988,-0.1,0.4,6.0,43.0,0.2,0.2,0.7,1.3,0,0
Sidney Lowe,1988,0.2,0.2,13.7,14.0,0.8,0.6,1.6,2.0,0,0
Tellis Frank,1988,-0.3,0.3,9.4,32.0,1.6,0.9,3.3,1.1,0,0
Grant Gondrezick,1988,0.0,0.2,11.8,27.0,1.5,0.6,3.9,0.8,0,0
Brook Steppe,1988,0.0,0.2,12.0,27.0,1.4,0.5,3.8,0.7,0,0
Chuck Nevitt,1988,-0.1,0.5,8.1,43.0,0.4,0.5,1.5,1.1,0,0
Eddie Hughes,1988,0.1,0.3,11.4,26.0,0.5,0.4,2.7,0.5,0,0
Bernard Thompson,1988,-0.1,0.3,5.5,23.0,1.1,0.8,2.7,0.8,0,0
Uwe Blab,1988,-0.1,0.2,10.8,37.0,0.7,0.4,1.8,0.9,0,0
Anthony Jones,1988,0.1,0.2,13.4,33.0,0.5,0.2,2.3,0.4,0,0
Phil Hubbard,1988,0.0,0.3,11.7,31.0,0.8,0.3,2.4,0.8,0,0
Larry Bird,1988,0.3,0.2,19.8,6.0,3.2,1.8,19.3,6.0,0,0
Jeff Lamp,1988,-0.2,0.2,6.8,37.0,0.1,0.4,1.6,0.8,0,0
Bart Kofoed,1988,-0.1,0.2,3.7,19.0,0.6,0.7,1.6,0.4,0,0
Ken Bannister,1988,0.1,0.2,17.9,9.0,5.9,0.9,8.2,3.0,0,0
Otis Birdsong,1988,-0.1,0.1,7.0,13.0,0.2,0.9,2.8,0.7,0,0
Ben McDonald,1988,0.0,0.1,12.0,11.0,1.4,0.3,3.2,0.7,0,0
Ennis Whatley,1988,-0.1,0.1,12.1,8.0,1.4,1.4,4.3,1.8,0,0
Michael Jackson,1988,-0.1,0.0,6.7,14.0,0.1,0.3,1.5,0.2,0,0
Pétur Guðmundsson,1988,-0.2,0.1,2.7,5.0,0.8,1.6,4.2,2.2,0,0
Darryl Dawkins,1988,-0.1,0.0,8.2,14.0,1.3,0.3,1.9,0.3,0,0
Pace Mannion,1988,0.0,0.1,7.3,10.0,0.0,0.3,0.8,0.5,0,0
John Stroeder,1988,0.0,0.0,13.2,5.0,0.0,0.6,0.8,1.8,0,0
Ron Cavenall,1988,0.0,0.0,7.4,5.0,1.0,0.4,1.2,0.4,0,0
Greg Ballard,1988,0.0,0.0,7.1,2.0,2.0,0.0,3.0,2.5,0,0
Andre Turner,1988,0.0,0.0,3.6,4.0,0.0,1.0,1.5,0.8,0,0
Kenny Gattison,1988,0.0,0.0,-2.8,2.0,1.0,0.0,0.5,0.5,0,0
Sedric Toney,1988,-0.1,0.0,-14.9,2.0,0.5,1.0,1.0,0.5,0,0
Steve Harris,1988,0.0,0.0,18.3,3.0,0.7,0.0,1.3,0.7,0,0
Winston Crite,1988,0.0,0.0,-20.3,2.0,0.0,0.5,0.0,0.0,0,0
Mike Dunleavy,1988,0.0,0.0,17.7,2.0,0.0,0.0,1.5,0.0,0,0
Rodney McCray,1989,3.3,2.5,16.7,82.0,4.2,2.1,16.6,5.8,0,0
Michael Jordan,1989,10.6,4.3,31.2,82.0,8.5,3.0,33.6,5.1,1,1
Reggie Miller,1989,4.8,1.3,20.8,82.0,7.6,2.7,24.6,2.4,0,0
Patrick Ewing,1989,6.0,5.3,25.8,82.0,7.9,3.4,28.6,8.0,1,1
Tony Campbell,1989,1.8,2.5,17.1,82.0,6.9,3.1,23.2,3.0,0,0
Scottie Pippen,1989,3.0,4.3,16.3,82.0,3.6,3.4,16.5,4.8,0,0
Hakeem Olajuwon,1989,6.2,8.7,24.1,82.0,6.5,3.9,24.3,10.4,1,2
Karl Malone,1989,6.6,5.4,27.2,82.0,11.1,3.7,31.0,8.3,1,1
Charles Barkley,1989,8.0,4.2,27.1,79.0,9.4,3.1,25.2,6.9,1,1
Tom Chambers,1989,3.3,3.7,20.9,81.0,8.0,2.7,27.2,5.6,1,2
Tyrone Corbin,1989,2.2,4.0,15.9,82.0,2.5,1.7,14.7,4.7,0,0
Derek Harper,1989,5.0,3.6,19.8,82.0,3.8,2.5,18.0,2.3,0,0
Isiah Thomas,1989,3.7,4.6,17.3,81.0,4.7,4.0,18.4,2.9,0,0
James Worthy,1989,4.3,3.1,19.8,80.0,4.0,2.0,21.1,4.0,1,3
Otis Thorpe,1989,2.0,4.1,16.1,82.0,5.4,2.8,17.1,5.8,0,0
