Player,Season,TS%,WS/48,VORP,PTS,TRB,AST,STL,BLK,AllNBA
Kiki Vandeweghe,1988,0.536,0.105,0.1,11.1,1.6,1.5,0.4,0.2,0
John Long,1988,0.474,0.011,-0.5,5.5,1.1,1.2,0.4,0.0,0
Steve Alford,1988,0.522,0.072,-0.1,5.5,1.1,1.4,0.7,0.0,0
Frank Johnson,1988,0.512,0.034,-0.2,4.4,1.2,2.7,0.6,0.0,0
Rickey Green,1988,0.522,0.067,0.4,4.6,1.1,3.0,0.6,0.0,0
Chris Welp,1988,0.484,0.042,-0.6,3.4,2.7,0.4,0.3,0.6,0
John Lucas,1988,0.466,0.109,0.9,4.2,1.1,3.5,0.8,0.0,0
Keith Lee,1988,0.468,0.045,-0.4,4.8,4.5,0.7,0.4,0.6,0
Olden Polynice,1988,0.535,0.086,-0.2,2.9,2.6,0.3,0.5,0.4,0
Dave Feitl,1988,0.485,0.022,-0.7,5.0,3.5,0.6,0.3,0.3,0
Dell Curry,1988,0.527,0.052,0.6,11.9,2.2,1.0,0.9,0.1,0
Adrian Branch,1988,0.509,0.087,0.1,7.4,2.0,0.9,0.7,0.0,0
Mark Bryant,1988,0.505,0.063,-0.5,5.0,3.2,0.6,0.4,0.1,0
Marc Iavaroni,1988,0.494,0.036,-0.6,2.3,1.7,0.4,0.1,0.2,0
Albert King,1988,0.47,-0.003,-0.4,7.1,3.0,1.7,0.6,0.2,0
Tony Campbell,1988,0.508,0.065,-0.3,6.2,2.1,0.7,0.6,0.1,0
Stuart Gray,1988,0.519,0.054,-0.2,2.6,3.4,0.4,0.2,0.3,0
Jim Les,1988,0.418,0.018,-0.3,1.7,1.1,2.6,0.3,0.1,0
Eric Leckner,1988,0.591,0.093,-0.6,4.3,2.7,0.2,0.1,0.3,0
Russ Schoene,1988,0.479,0.078,-0.1,5.2,2.4,0.5,0.5,0.3,0
Jerry Reynolds,1988,0.497,0.107,0.7,7.6,1.8,1.1,0.9,0.5,0
Michael Anderson,1988,0.483,0.01,-0.1,5.7,2.5,4.3,1.2,0.1,0
Ben Coleman,1988,0.537,0.051,-0.5,5.1,3.1,0.3,0.2,0.3,0
Bill Hanzlik,1988,0.531,0.047,-0.2,4.9,2.3,2.1,0.6,0.1,0
Paul Mokeski,1988,0.443,0.072,-0.3,2.2,2.5,0.5,0.4,0.3,0
Shelton Jones,1988,0.5,0.022,-0.2,4.8,2.2,0.8,0.4,0.3,0
Jay Vincent,1988,0.439,-0.024,-0.8,8.6,3.8,0.9,0.2,0.1,0
Mark Acres,1988,0.507,0.066,-0.2,2.2,2.4,0.3,0.3,0.1,0
Allen Leavell,1988,0.417,-0.009,-0.3,3.3,1.0,2.3,0.5,0.1,0
Mike Smrek,1988,0.518,0.031,-0.4,4.5,3.0,0.3,0.3,1.3,0
Jerome Whitehead,1988,0.432,0.032,-0.6,3.1,2.4,0.3,0.4,0.1,0
Kelvin Upshaw,1988,0.49,0.021,-0.2,6.8,1.5,3.7,0.8,0.1,0
Tim Perry,1988,0.56,0.109,0.4,4.1,2.1,0.3,0.3,0.5,0
Roy Tarpley,1988,0.577,0.166,0.6,17.3,11.5,0.9,1.5,1.6,0
Eddie Lee Wilkins,1988,0.492,0.023,-0.8,4.1,2.1,0.1,0.1,0.2,0
Tree Rollins,1988,0.465,0.08,-0.1,2.3,2.3,0.3,0.2,0.6,0
Jerome Lane,1988,0.427,0.013,-0.4,4.8,3.7,1.1,0.4,0.1,0
Kevin Williams,1988,0.462,-0.009,-0.3,4.2,1.4,1.1,0.6,0.2,0
Charles Davis,1988,0.459,0.048,-0.3,3.8,2.3,0.6,0.2,0.1,0
Chris Dudley,1988,0.43,0.011,-0.7,3.0,2.6,0.3,0.1,0.4,0
Scott Roth,1988,0.441,0.005,-0.4,2.9,1.0,0.9,0.4,0.1,0
Ron Grandison,1988,0.499,0.055,-0.1,2.5,1.3,0.6,0.3,0.0,0
Andrew Lang,1988,0.554,0.124,0.1,2.6,2.4,0.1,0.3,0.8,0
Brian Rowsom,1988,0.572,0.135,0.1,6.6,4.0,0.7,0.3,0.4,0
Randy Breuer,1988,0.496,0.083,0.1,4.2,2.8,0.5,0.2,0.8,0
Craig Neal,1988,0.428,-0.025,-0.4,2.2,0.5,2.2,0.5,0.1,0
Charles Shackleford,1988,0.501,0.076,-0.1,3.1,2.6,0.4,0.3,0.3,0
Bob Thornton,1988,0.462,0.01,-0.5,2.4,1.7,0.3,0.1,0.1,0
David Rivers,1988,0.477,0.002,-0.2,2.9,0.9,2.3,0.5,0.2,0
Anthony Bowie,1988,0.515,0.054,-0.2,8.6,3.1,1.6,1.0,0.2,0
Eric White,1988,0.57,0.05,-0.3,4.2,1.8,0.4,0.3,0.0,0
Cliff Robinson,1988,0.514,0.033,-0.1,15.1,5.4,2.3,1.2,0.1,0
Jim Farmer,1988,0.475,0.045,-0.3,4.1,1.5,0.8,0.2,0.0,0
Sam Bowie,1988,0.49,0.063,0.2,8.6,5.3,1.8,0.4,1.7,0
Morlon Wiley,1988,0.459,0.028,0.0,2.2,0.9,1.5,0.5,0.1,0
Greg Dreiling,1988,0.613,0.045,-0.3,2.4,1.7,0.3,0.1,0.2,0
Jerry Sichting,1988,0.474,0.03,-0.1,4.1,1.2,2.4,0.6,0.0,0
Kevin Gamble,1988,0.584,0.123,0.2,4.3,1.0,0.8,0.3,0.1,0
David Wingate,1988,0.527,0.032,-0.1,4.2,1.1,2.2,0.3,0.1,0
Anthony Taylor,1988,0.436,0.029,0.0,6.9,1.6,2.0,1.0,0.2,0
Tony Brown,1988,0.486,0.071,0.0,3.0,1.0,0.6,0.3,0.1,0
Micheal Williams,1988,0.424,-0.029,-0.3,2.6,0.6,1.4,0.3,0.1,0
Clinton Wheeler,1988,0.548,0.087,0.2,3.8,1.1,1.9,1.0,0.0,0
Todd Mitchell,1988,0.491,-0.008,-0.3,5.1,2.1,0.9,0.7,0.1,0
